Players,Price,Total pts,Selected,MD pts,Pts per €,Pts per MD,PotM pts,Goals,Assists,Balls recovered,Clean sheets,Red cards,Yellow cards,Mins played,Trans in,Trans out,img_url,Next Match,Position
A. Skov Olsen,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,96.0,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.07,SVN v DEN,FWD
J. Mário,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,189.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250014109.jpg?v=0.05,POR v CZE,MID
Otávio,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.0,300.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250085693.jpg?v=0.05,POR v CZE,MID
C. Wilson,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,47.0,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.07,SRB v ENG,FWD
C. Gallagher,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,118.0,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.07,SRB v ENG,MID
D. Lukébakio,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,95.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250067658.jpg?v=0.05,BEL v SVK,FWD
C. De Ketelaere,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,283.0,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.07,BEL v SVK,MID
T. Werner,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283.0,370.0,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.07,GER v SCO,FWD
M. Beier,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,13.0,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.07,GER v SCO,FWD
M. Livaja,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,12.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250005676.jpg?v=0.05,ESP v CRO,FWD
L. Majer,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,115.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250098470.jpg?v=0.05,ESP v CRO,MID
F. Kostić,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,185.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250024301.jpg?v=0.05,SRB v ENG,MID
D. Tadić,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.0,264.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/1902464.jpg?v=0.05,SRB v ENG,FWD
I. Toney,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,180.0,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.07,SRB v ENG,FWD
F. Ruiz,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,81.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250115436.jpg?v=0.05,ESP v CRO,MID
G. Sudakov,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,306.0,287.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250119181.jpg?v=0.05,ROU v UKR,MID
B. Brobbey,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,231.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250112997.jpg?v=0.05,POL v NED,FWD
M. Gregoritsch,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,104.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250023832.jpg?v=0.05,AUT v FRA,FWD
I. Aspas,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,84.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/109132.jpg?v=0.05,ESP v CRO,FWD
W. Weghorst,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.0,336.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250078682.jpg?v=0.05,POL v NED,FWD
V. Grifo,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,45.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250066467.jpg?v=0.05,ITA v ALB,MID
G. Bonaventura,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,31.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250000874.jpg?v=0.05,ITA v ALB,MID
D. Frattesi,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,152.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250088150.jpg?v=0.05,ITA v ALB,MID
N. Vlašić,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,42.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250066135.jpg?v=0.05,ESP v CRO,MID
M. Politano,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,69.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250050381.jpg?v=0.05,ITA v ALB,FWD
C. Baumgartner,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,152.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250089289.jpg?v=0.05,AUT v FRA,MID
İ. Kahveci,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,38.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250046542.jpg?v=0.05,TUR v GEO,MID
J. Veerman,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,99.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250105890.jpg?v=0.05,POL v NED,MID
B. Embolo,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,244.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250064274.jpg?v=0.05,HUN v SUI,FWD
Z. Amdouni,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,98.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250162865.jpg?v=0.05,HUN v SUI,FWD
N. Zaniolo,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,100.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250107324.jpg?v=0.05,ITA v ALB,FWD
A. Živković,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,12.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250042213.jpg?v=0.05,SRB v ENG,FWD
C. Stengs,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,42.0,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.07,POL v NED,MID
V. van Dijk,6.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4476.0,5192.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250043137.jpg?v=0.05,POL v NED,DEF
J. Cancelo,6.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7399.0,5477.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250024746.jpg?v=0.05,POR v CZE,DEF
G. Donnarumma,6.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2307.0,5632.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250078922.jpg?v=0.05,ITA v ALB,GK
M. Neuer,6.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1773.0,4805.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/97923.jpg?v=0.05,GER v SCO,GK
R. Dias,6.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2642.0,3405.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250058220.jpg?v=0.05,POR v CZE,DEF
A. Güler,6.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4643.0,2506.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250161881.jpg?v=0.05,TUR v GEO,MID
A. Tchouameni,6.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2424.0,2268.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250105244.jpg?v=0.05,AUT v FRA,MID
Vitinha,6.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2089.0,1917.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250101444.jpg?v=0.05,POR v CZE,MID
K. Trippier,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,695.0,1341.0,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.07,SRB v ENG,DEF
Y. Tielemans,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2103.0,1770.0,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.07,BEL v SVK,MID
E. Camavinga,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1140.0,1192.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250128270.jpg?v=0.05,AUT v FRA,MID
G. Xhaka,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1988.0,1614.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250004721.jpg?v=0.05,HUN v SUI,MID
Gavi,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,907.0,1169.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250139255.jpg?v=0.05,ESP v CRO,MID
K. Laimer,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326.0,510.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250065413.jpg?v=0.05,AUT v FRA,MID
M. Brozović,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283.0,362.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250040564.jpg?v=0.05,ESP v CRO,MID
T. Souček,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,448.0,507.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250066618.jpg?v=0.05,POR v CZE,MID
M. Damsgaard,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,474.0,622.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250118062.jpg?v=0.05,SVN v DEN,MID
W. Zaïre-Emery,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.0,449.0,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.07,AUT v FRA,MID
G. Wijnaldum,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.0,397.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/103813.jpg?v=0.05,POL v NED,MID
M. Uzuni,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,120.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250081975.jpg?v=0.05,ITA v ALB,FWD
S. Çikalleshi,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,56.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250005325.jpg?v=0.05,ITA v ALB,FWD
N. Bajrami,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,167.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250089373.jpg?v=0.05,ITA v ALB,MID
M. Grüll,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,122.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250137446.jpg?v=0.05,AUT v FRA,MID
R. Schmid,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,161.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250097378.jpg?v=0.05,AUT v FRA,MID
M. Cham,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,114.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250126258.jpg?v=0.05,AUT v FRA,MID
F. Kainz,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,78.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250020929.jpg?v=0.05,AUT v FRA,MID
A. Prass,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,63.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250114170.jpg?v=0.05,AUT v FRA,MID
M. Batshuayi,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,165.0,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.07,BEL v SVK,FWD
O. Deman,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,49.0,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.07,BEL v SVK,MID
A. Vermeeren,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,99.0,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.07,BEL v SVK,MID
A. Saelemaekers,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,61.0,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.07,BEL v SVK,MID
A. Onana,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.0,217.0,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.07,BEL v SVK,MID
H. Vanaken,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,36.0,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.07,BEL v SVK,MID
J. Brekalo,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,47.0,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.07,ESP v CRO,FWD
M. Pašalić,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,91.0,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.07,ESP v CRO,FWD
B. Petković,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,123.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250063394.jpg?v=0.05,ESP v CRO,FWD
M. Baturina,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,27.0,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.07,ESP v CRO,MID
V. Jurečka,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,11.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250159151.jpg?v=0.05,POR v CZE,FWD
J. Kuchta,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,19.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250090804.jpg?v=0.05,POR v CZE,FWD
M. Chytil,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,16.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250092161.jpg?v=0.05,POR v CZE,FWD
L. Provod,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,28.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250064811.jpg?v=0.05,POR v CZE,MID
O. Lingr,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,28.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250077922.jpg?v=0.05,POR v CZE,MID
M. Braithwaite,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.0,183.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250013677.jpg?v=0.05,SVN v DEN,FWD
Y. Poulsen,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,163.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250022869.jpg?v=0.05,SVN v DEN,FWD
M. Jensen,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,78.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250080451.jpg?v=0.05,SVN v DEN,MID
Y. Fofana,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,91.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250132399.jpg?v=0.05,AUT v FRA,MID
B. Varga,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,92.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250183450.jpg?v=0.05,HUN v SUI,FWD
K. Horváth,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,14.0,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.07,HUN v SUI,MID
W. Gnonto,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,209.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250135406.jpg?v=0.05,ITA v ALB,FWD
M. Kean,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,191.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250087919.jpg?v=0.05,ITA v ALB,FWD
S. El Shaarawy,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,164.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250006202.jpg?v=0.05,ITA v ALB,FWD
M. Retegui,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,162.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250183519.jpg?v=0.05,ITA v ALB,FWD
M. Pessina,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,21.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250121401.jpg?v=0.05,ITA v ALB,MID
N. Lang,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,26.0,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.07,POL v NED,FWD
T. Dallinga,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.07,POL v NED,FWD
T. Reijnders,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0,136.0,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.07,POL v NED,MID
M. Skóraś,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,10.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250105686.jpg?v=0.05,POL v NED,FWD
K. Piątek,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,29.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250098778.jpg?v=0.05,POL v NED,FWD
D. Szymański,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,13.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250110207.jpg?v=0.05,POL v NED,MID
S. Szymański,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,47.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250087872.jpg?v=0.05,POL v NED,MID
R. Neves,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,211.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250055271.jpg?v=0.05,POR v CZE,MID
J. Palhinha,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271.0,291.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250067295.jpg?v=0.05,POR v CZE,MID
F. Coman,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,52.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250078023.jpg?v=0.05,ROU v UKR,FWD
I. Hagi,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,135.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250078025.jpg?v=0.05,ROU v UKR,MID
O. Moruţan,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,24.0,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.07,ROU v UKR,MID
L. Dykes,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,189.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250143241.jpg?v=0.05,GER v SCO,FWD
R. Christie,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,47.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250075704.jpg?v=0.05,GER v SCO,FWD
C. McGregor,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,83.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250014042.jpg?v=0.05,GER v SCO,MID
S. Armstrong,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,29.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250017884.jpg?v=0.05,GER v SCO,MID
L. Jović,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,135.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250058244.jpg?v=0.05,SRB v ENG,FWD
R. Boženík,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,18.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250089338.jpg?v=0.05,BEL v SVK,FWD
O. Duda,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,22.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250055981.jpg?v=0.05,BEL v SVK,MID
L. Bénes,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,14.0,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.07,BEL v SVK,MID
R. Mak,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/107044.jpg?v=0.05,BEL v SVK,MID
T. Suslov,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250117652.jpg?v=0.05,BEL v SVK,MID
A. Šporar,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,22.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250050391.jpg?v=0.05,SVN v DEN,FWD
Ž. Celar,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.07,SVN v DEN,FWD
